epoch,loss,accuracy
1,0.2438,0.8987
2,0.1894,0.9287
3,0.1786,0.9324
4,0.1745,0.9345
5,0.1705,0.9361
6,0.1679,0.9381
7,0.1650,0.9375
8,0.1629,0.9388
9,0.1618,0.9377
10,0.1634,0.9388
11,0.1608,0.9396
12,0.1636,0.9382
13,0.1605,0.9413
14,0.1627,0.9407
15,0.1608,0.9407
16,0.1599,0.9415
17,0.1582,0.9416
18,0.1606,0.9418
19,0.1594,0.9432
20,0.1556,0.9416
21,0.1580,0.9436
22,0.1566,0.9448
23,0.1528,0.9448
24,0.1520,0.9460
25,0.1510,0.9465
26,0.1514,0.9462
27,0.1511,0.9449
28,0.1501,0.9465
29,0.1532,0.9462
30,0.1490,0.9463
31,0.1502,0.9464
32,0.1485,0.9470
33,0.1489,0.9472
34,0.1486,0.9461
35,0.1515,0.9476
36,0.1484,0.9457
37,0.1455,0.9474
38,0.1443,0.9470
39,0.1479,0.9470
40,0.1485,0.9457
41,0.1478,0.9470
42,0.1453,0.9465
43,0.1476,0.9468
44,0.1435,0.9470
45,0.1402,0.9453
46,0.1441,0.9472
47,0.1448,0.9445
48,0.1446,0.9464
49,0.1443,0.9470
50,0.1433,0.9468
51,0.1436,0.9443
52,0.1417,0.9477
53,0.1431,0.9480
54,0.1425,0.9477
55,0.1423,0.9476
56,0.1417,0.9480
57,0.1416,0.9479
58,0.1413,0.9484
59,0.1403,0.9478
60,0.1406,0.9459
61,0.1407,0.9480
62,0.1418,0.9462
63,0.1408,0.9469
64,0.1404,0.9493
65,0.1419,0.9465
66,0.1413,0.9490
67,0.1404,0.9482
68,0.1405,0.9474
69,0.1413,0.9465
70,0.1403,0.9493
71,0.1400,0.9490
72,0.1403,0.9468
73,0.1414,0.9474
74,0.1414,0.9480
75,0.1405,0.9470
76,0.1416,0.9471
77,0.1402,0.9484
78,0.1397,0.9480
79,0.1397,0.9479
80,0.1399,0.9471
81,0.1382,0.9484
82,0.1400,0.9486
83,0.1393,0.9474
84,0.1389,0.9490
85,0.1391,0.9476
86,0.1388,0.9488
87,0.1408,0.9461
88,0.1389,0.9503
89,0.1392,0.9493
90,0.1404,0.9479
91,0.1381,0.9489
92,0.1384,0.9500
93,0.1383,0.9501
94,0.1388,0.9488
95,0.1390,0.9486
96,0.1388,0.9501
97,0.1389,0.9493
98,0.1384,0.9491
99,0.1390,0.9493
100,0.1383,0.9484
